 
t,x,y,r,vx,vy,v,ax,ay,a,step,frame,px,p,pixelx,pixely
8.333333E-1,1.238433E-1,2.291326E-1,2.604590E-1,1.874520E-1,-8.821273E-2,2.071708E-1,-2.646382E0,-1.512218E0,3.047973E0,1.000000E2,1.000000E2,1.874520E-1,2.071708E-1,1.454167E2,1.340000E2
8.416667E-1,1.249460E-1,2.287650E-1,2.606625E-1,2.095052E-1,-1.323191E-1,2.477918E-1,6.426927E0,-7.561091E-1,6.471252E0,1.010000E2,1.010000E2,2.095052E-1,2.477918E-1,1.459167E2,1.341667E2
8.500000E-1,1.273351E-1,2.269272E-1,2.602118E-1,3.197711E-1,-1.433457E-1,3.504305E-1,1.247580E1,-1.134164E0,1.252725E1,1.020000E2,1.020000E2,3.197711E-1,3.504305E-1,1.470000E2,1.350000E2
8.583333E-1,1.302755E-1,2.263759E-1,2.611853E-1,4.079839E-1,-1.102659E-1,4.226221E-1,1.020747E1,2.268327E0,1.045647E1,1.030000E2,1.030000E2,4.079839E-1,4.226221E-1,1.483333E2,1.352500E2
8.666667E-1,1.341348E-1,2.250895E-1,2.620256E-1,4.961966E-1,-1.323191E-1,5.135362E-1,-2.646382E0,-7.561091E-1,2.752279E0,1.040000E2,1.040000E2,4.961966E-1,5.135362E-1,1.500833E2,1.358333E2
8.750000E-1,1.385454E-1,2.241706E-1,2.635285E-1,3.859307E-1,-1.102659E-1,4.013740E-1,-1.323191E1,-7.561091E-1,1.325349E1,1.050000E2,1.050000E2,3.859307E-1,4.013740E-1,1.520833E2,1.362500E2
8.833333E-1,1.405670E-1,2.232517E-1,2.638189E-1,2.315584E-1,-1.433457E-1,2.723367E-1,-1.096358E1,3.780546E-1,1.097010E1,1.060000E2,1.060000E2,2.315584E-1,2.723367E-1,1.530000E2,1.366667E2
8.916667E-1,1.424047E-1,2.217815E-1,2.635643E-1,2.205318E-1,-1.212925E-1,2.516866E-1,-2.268327E0,2.646382E0,3.485491E0,1.070000E2,1.070000E2,2.205318E-1,2.516866E-1,1.538333E2,1.373333E2
9.000000E-1,1.442425E-1,2.212302E-1,2.640998E-1,1.984786E-1,-7.718614E-2,2.129588E-1,-3.780546E0,1.134164E0,3.947005E0,1.080000E2,1.080000E2,1.984786E-1,2.129588E-1,1.546667E2,1.375833E2
9.083333E-1,1.457127E-1,2.204951E-1,2.642920E-1,1.543723E-1,-1.102659E-1,1.897086E-1,7.561091E-1,-3.024436E0,3.117518E0,1.090000E2,1.090000E2,1.543723E-1,1.897086E-1,1.553333E2,1.379167E2
